popularity,id,name,artista
24,7vYalKdd2YxJcw92PuU5Ga,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 9 Canone alla Terza a 1 Clav.",Johann Sebastian Bach
23,3PWycRM4H6FLxX0Rp8Lagk,"Suite No.2 in B minor, BWV 1067: 2. Rondeau",Johann Sebastian Bach
23,1V6SlLdXGXdVn5pg2XzinA,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 8 a 2 Clav.",Johann Sebastian Bach
22,4kKGwpi11NpKgKqySdAA2G,"St. Marc Passion, BWV 247 - Reconstruction: Diethard Hellmann / Teil 2 (Nach der Predigt): Choral: Keinen hat Gott verlassen",Johann Sebastian Bach
22,1SE658kJsgljdsqwwjnlBu,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 2 a 1 Clav.",Johann Sebastian Bach
23,0NvoesJ6g9m2pVrDIMSg0h,"Ach lieben Christen, seid getrost, BWV 256",Johann Sebastian Bach
22,0utibSwOt69P14h6yyQPkr,"Suite For Lute In G Minor, BWV 995: 3. Courante",Johann Sebastian Bach
22,1Tp068PJedUxcscsbQNLYA,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Fugue In C Major, BWV 846",Johann Sebastian Bach
24,1KuaPc8waVzzgZm7DMUe1L,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 20 a 2 Clav.",Johann Sebastian Bach
22,1gQd7l60dWoPhlvdlwzHpp,"Orgelbüchlein: 5. Puer natus in Bethlehem, BWV 603",Johann Sebastian Bach
22,2Q6Nb2azjK94shEyUCDUnq,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 30 Quodlibet a 1 Clav.",Johann Sebastian Bach
21,237Zt4OwWaligyEKXPtjNh,"Prelude and Fugue in B flat major, BWV 560: Fugue",Johann Sebastian Bach
19,3ZwdBKjShDUKeAANJVZwRc,"Suite In E Minor, BWV 996 - Transp. In G Minor: 5. Bourrée",Johann Sebastian Bach
19,1Bv3dUYDO7NgF3YO5Dh2Vy,"Suite For Cello Solo No.1 In G, BWV 1007: 1. Prélude",Johann Sebastian Bach
20,7LDhnEW0AzW28iLJANYlCg,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Fugue in A minor BWV 889",Johann Sebastian Bach
22,3ubW9xNvFZeRp7NOgsEaDZ,"St. Marc Passion, BWV 247 - Reconstruction: Diethard Hellmann / Teil 2 (Nach der Predigt): Choral: Oh! Jesu du",Johann Sebastian Bach
21,7JdOaR5Cx2nnzGI8cBFevY,"Brandenburg Concerto No.3 In G, BWV 1048: 2. Adagio",Johann Sebastian Bach
21,3Y4kXA5WZGObmVrpWfGlDX,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Fugue In A Flat Major, BWV 862",Johann Sebastian Bach
21,6oIaFkTK8cGlIiOU86AvXj,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 4 a 1 Clav.",Johann Sebastian Bach
21,0usgW7VIjIUqglribSclFk,"English Suite No.3 in G minor, BWV 808 - Transcr. for two guitars A. Lagoya: 3. Courante",Johann Sebastian Bach
19,3QYfErPu3w6MNCBJKLRifD,"Sonata for Violin and Harpsichord No.6 in G, BWV 1019: 2. Largo",Johann Sebastian Bach
19,4BCYv5jnbdjhtvs9aCCeuK,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 1 a 1 Clav.",Johann Sebastian Bach
23,0WUYZrsWAeW0hxyboOekfs,"Mache dich, mein Geist, bereit, BWV 115: IV. Air ""Bete aber auch dabei""",Johann Sebastian Bach
20,1asqcfMHom3ptwPNbIEK41,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude",Johann Sebastian Bach
20,5iJMgqx08zJ6h4DoHRDJxb,"Capriccio in B-Flat Major, BWV 992 ""On the Departure Of A Dear Brother"": IV. (Andante con moto)",Johann Sebastian Bach
18,5CbDWu6TDVzquCfHjtmMVH,"English Suite No. 3 in G Minor, BWV 808: VIII. Gavotte I da capo",Johann Sebastian Bach
21,46TedBdIUYQ6PYKGTABFue,"Es ist nichts gesundes an meinem Leibe, BWV 25: I. Chorus ""Es ist nichts gesundes an meinem Leibe""",Johann Sebastian Bach
17,7MsldXVnb0h1NVaUNvW4WG,"Orchestral Suite No.1 In C Major, BWV 1066: 5. Forlane",Johann Sebastian Bach
18,78UFF1YHb6OzJ7nI77ZQ9f,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Fugue In E Flat Major, BWV 876",Johann Sebastian Bach
19,4uR8nltWkxCsC2rAljEo3V,"French Suite No.4 in E flat, BWV 815: 1. Allemande",Johann Sebastian Bach
19,18lokgVfvqV9qE28v3QliP,"French Suite No.4 in E flat, BWV 815: 5. Menuet",Johann Sebastian Bach
20,3fyjQKU5HHpf8uIRz88zOU,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 10 Fughetta a 1 Clav.",Johann Sebastian Bach
18,1NZToBv0sn5RuSUBBZ2gOZ,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 26 a 2 Clav.",Johann Sebastian Bach
17,443oFe5SnzrhyHiFS5MUMv,"French Suite No.6 in E, BWV 817: 4. Gavotte",Johann Sebastian Bach
19,3rxVtwRM2CM8bFdcGaVmMz,"Du, o schönes Weltgebäude, BWV 301",Johann Sebastian Bach
19,3uKhbtb7uZrAcXWJnEzcYW,"Eins ist not, ach Herr, dies Eine, BWV 304",Johann Sebastian Bach
29,4HhDbZeDNMdtDT2bGUQf0B,"Ich habe genug, BWV 82a: I. Air ""Ich habe genug""",Johann Sebastian Bach
17,0NPkXfxOen1CtoxQp6FVMg,"Sonata for Flute or Violin No.4 in C, BWV 1033: 3. Adagio",Johann Sebastian Bach
17,4QnLrSyfQLJfZ6SMWaXxLL,"Suite for Cello Solo No.5 in C minor, BWV 1011: 3. Courante",Johann Sebastian Bach
16,7coMvbZeoAZljJc8vC4mmf,"Prelude & Fugue in C Minor (Well-Tempered Clavier, Book I, No. 2), BWV 847: 2. Fugue",Johann Sebastian Bach
18,05LaDaUbRdBJR11kqa3Zq9,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 8 a 2 Clav.",Johann Sebastian Bach
17,5mn3iGc4sD3rX2q553gApC,"Ein feste Burg ist unser Gott, BWV 303",Johann Sebastian Bach
17,2BLJxyP6xmVw9vqDj604m4,"Partita No.1 in B flat, BWV 825 - Arr. Guitar (D major): 1. Praeludium",Johann Sebastian Bach
16,3vxkNMZP277xicoag2V6NE,"St. Marc Passion, BWV 247 - Reconstruction: Diethard Hellmann / Teil 1 (Vor der Predigt): Choral: Jesu, ohne Missetat",Johann Sebastian Bach
18,6TUnI9shLdtsOByghINp6H,"St. Marc Passion, BWV 247 - Reconstruction: Diethard Hellmann / Teil 1 (Vor der Predigt): Choral: Wach auf, o Mensch, vom Sündenschlaf",Johann Sebastian Bach
18,0XHWj5mhppg4MGQ3Tq5jaN,"Sinfonia No. 15 in B Minor, BWV 801",Johann Sebastian Bach
19,3ysvHWAyD4zY6EA2IpPbMC,"Selig ist der Mann, BWV 57: VII. Air ""Ich ende behende mein irdisches Leben""",Johann Sebastian Bach
16,2T07ggqAXHgMyEII6rfulu,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Fugue In F Sharp Minor, BWV 859 - Faster Version",Johann Sebastian Bach
15,44qsEZyH67z6b7KXP1V7fY,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 5 a 1 ovvero 2 Clav.",Johann Sebastian Bach
15,4UH0V4cUs4FX6YeqOlF4x9,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 23 a 2 Clav.",Johann Sebastian Bach
15,6YDk0tf3P5qSALCgbJr1o7,"Musical Offering, BWV 1079: 4k. Canon a 4",Johann Sebastian Bach
15,79racpvA6ecmenBHGMT0XH,"Musical Offering, BWV 1079: 4f. Fuga canonica in Epidiapente",Johann Sebastian Bach
15,7smxtWWsg55Iv4lZS60zuj,"Flute Sonata in C Major, BWV 1033: 3. Adagio",Johann Sebastian Bach
15,1Ayi6qZegpDnULDQLXziFS,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 14 a 2 Clav.",Johann Sebastian Bach
16,0oqIjcdPAb3SoGxuQycz3P,"Suite No.2 In B Minor, BWV 1067: 7. Menuet",Johann Sebastian Bach
17,6uMabT0v97Epw1rdGG6Quj,"Suite in E for Lute, BWV 1006a/1000 - Arr. for Guitar: 6. Gigue",Johann Sebastian Bach
19,7Bu44g091sCREyhlTExZuG,Variations Goldberg BWV 988: Variation 30 Quodlibet,Johann Sebastian Bach
17,15oQ7WbYSKkb754tYQT1xU,"Partita No.4 in D, BWV 828: 3. Courante",Johann Sebastian Bach
18,6S5MhzHBzjBkwFoFz6gK9c,"Sie werden euch in den Bann tun, BWV 44: VI. Air ""Es ist und bleibt der Christen Trost""",Johann Sebastian Bach
17,5cx5KObXBWMQG6sWtm6NF8,"Wenn mein Stündlein vorhanden ist, BWV 430: II. Chorale",Johann Sebastian Bach
15,7iGs1sEVpZ6H9bqCh0zQy2,"Ach bleib bei uns, Herr Jesu Christ, BWV 253",Johann Sebastian Bach
15,2Ea3ViZaRfkLuBcr9gC8sC,"Suite in E for Lute, BWV 1006a/1000 - Arr. Harp: 4. Menuet I",Johann Sebastian Bach
17,6Q2eFSFcVZjDzvJarhorT7,"Herr, gehe nicht ins Gericht mit deinem Knecht, BWV 105: VI. Chorale ""Jesu, der du meine Seele""",Johann Sebastian Bach
15,1yFumj1MgsXuE89RJtMW3u,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 23 a 2 Clav.",Johann Sebastian Bach
18,2kStCrHlEuqHiFkdlRHsnn,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 4 a 1 Clav.",Johann Sebastian Bach
18,36SeKlYA8CWH2P0ecO2rRG,"French Suite No.3 in B minor, BWV 814: 4. Anglaise",Johann Sebastian Bach
20,1vkTUOMikSDI2O6pMA3xCW,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 29 a 1 ovvero 2 Clav.",Johann Sebastian Bach
17,1BwX6sel0gUmLD59SqQ9Jl,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Fugue in D major BWV 850",Johann Sebastian Bach
13,4xYGUsiAsR0jppEQI3IOjO,"Sonata No.2 In E Flat Major, BWV 1031: 2. Siciliana",Johann Sebastian Bach
15,7rfsOK4RtGjZzTBZD3caYl,"Weichet nur, betrübte Schatten, BWV 202: I. Air ""Weichet nur betrübte Schatten""",Johann Sebastian Bach
14,7uJjZILRHdXdLKSfZDC6D0,"St. Marc Passion, BWV 247 - Reconstruction: Diethard Hellmann / Teil 1 (Vor der Predigt): Choral: Ich will hier bei dir stehen",Johann Sebastian Bach
15,5jLyC2d1IUuxWGhGakfGGW,"Du grosser Schmerzensmann, BWV 300",Johann Sebastian Bach
16,2ep8QH6AfhsXoUZMuI299q,"Orchestral Suite No.3 In D Major, BWV 1068: 5. Bourrée",Johann Sebastian Bach
15,1IpOIfQwoQ7TdnE3RxVemu,"Herr Jesu Christ, wahr' Mensch und Gott, BWV 127: III. Air ""Die Seele ruht in Jesu Händen""",Johann Sebastian Bach
16,5bTGbPY2pWB54VWyBI40sA,"Ich habe genug, BWV 82a: V. Air ""Ich freue mich auf meinen Tod""",Johann Sebastian Bach
15,5yTnAeEtB3YLl3kORcj10J,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 5 a 1 ovvero 2 Clav.",Johann Sebastian Bach
13,6eV4naWogiDJKYiAA3bkju,"Musical Offering, BWV 1079: 4d. Canon 4 a 2 per augmentationem, contrario motu",Johann Sebastian Bach
16,4RkurezLmWubcnI5X0TElr,"Aria variata (alla maniera italiana) in A Minor, BWV 989: Aria da capo",Johann Sebastian Bach
16,7kooDHxbPPXZELVeXhV1Iz,"Orgelbüchlein: 8. Von Himmel hoch, da komm' ich her, BWV 606",Johann Sebastian Bach
17,1sGcb9puT43NeekzEVerNG,"Orchestral Suite No.2 In B Minor, BWV 1067: 8. Badinerie",Johann Sebastian Bach
19,2xxFG22yUfMVJnsL4tfJLF,"Ach Herr, mich armen Sünder, BWV 135: VI. Chorale ""Ehr sei ins Himmels Throne""",Johann Sebastian Bach
15,2hUS8gTbqqvqGLwe8mxo2O,"Capriccio in B flat major, BWV 992 ""On the Departure of a Dear Brother"": 1. Arioso (Adagio)",Johann Sebastian Bach
15,7bPiDJgByGqRKATWlz41Iv,"Suite in E for Lute, BWV 1006a: 6. Bourrée",Johann Sebastian Bach
11,0v9QeLuhbcHStVXFAQW0Mz,"Aria variata (alla maniera italiana) in A Minor, BWV 989: Variation X",Johann Sebastian Bach
13,1BJFovC6xZ4M3PBPwn31FV,"Suite No.2 in B minor, BWV 1067: 6. Menuet",Johann Sebastian Bach
11,2o6Bai4LAc7oOPutRZEhta,"Christe, du Beistand deiner Kreuzgemeine, BWV 275",Johann Sebastian Bach
11,3dBBQczdiWn9MA2a0ciVJk,"Musical Offering, BWV 1079: 4a. Canon 1 a 2 cancrizans",Johann Sebastian Bach
11,5D4NQSsh4AYkJt2I7r5ieQ,"French Suite No.2 in C minor, BWV 813: 4. Air",Johann Sebastian Bach
12,5IFKRMaTGfEtWVgWDnNCox,"Aria variata (alla maniera italiana) in A Minor, BWV 989: Variation V. Un poco allegro",Johann Sebastian Bach
11,5aDccDMFVSltp3lNvd7ySd,"Sonata For Flute Or Violin No.6 In E, BWV 1035: 4. Allegro assai",Johann Sebastian Bach
12,6QcE0xdian1x7SUdTlTHtF,"Brandenburg Concerto No.3 In G Major, BWV 1048: 2. Adagio (BWV 1019a)",Johann Sebastian Bach
14,3K3O5S3nh5bKGa5obvWfv4,"Da der Herr Christ zu Tische sass, BWV 285",Johann Sebastian Bach
15,4IZRZI3eXu7dIU6l4O1CR9,"French Suite No.5 in G, BWV 816: 6. Loure",Johann Sebastian Bach
19,4zqhYFolD5yGG3cov5yHD3,"Was mir behagt, ist nur die muntre Jagd, BWV 208: IX. ""Schafe können sicher weiden""",Johann Sebastian Bach
11,11fvnCuy2VNi4QPHJ6AYhK,"Orchestral Suite No.2 In B Minor, BWV 1067: 7. Menuet",Johann Sebastian Bach
12,34OHr3DVxO3kM43iHiNfbA,"Suite in G Minor for Lute, BWV 995 - Arr. for Guitar (A Minor): 3. Courante",Johann Sebastian Bach
13,65dbAd1RRZWRxxRxOn46Iz,"The Well-Tempered Clavier: Book 1, BWV 846-869: Prelude in D Major, BWV 850 (Arr. Badzura)",Johann Sebastian Bach
14,391aVjy5g9YOtNR7kLrD6p,"Toccata and Fugue in D Minor, BWV 565: 1. Toccata",Johann Sebastian Bach
12,5OPgvkeRV9w6o6tcT8yo89,"English Suite No. 3 in G Minor, BWV 808: IV. Sarabande",Johann Sebastian Bach
17,6NEnptXSH3v8rDomEh62Mb,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 19 a 1 Clav.",Johann Sebastian Bach
15,30hzaD9pJzVhnGRSPumrF7,"Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air",Johann Sebastian Bach
19,5fyUSxIdKCkQXB4y3Pg58z,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 27 Canone alla Nona",Johann Sebastian Bach
15,2xdEFqCGX3ZLMxvx68wzQZ,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 18 Canone alla Sesta a 1 Clav.",Johann Sebastian Bach
16,4tk6vCDt8kjwYHNOBLyTwM,"Nach dir, Herr, verlanget mich, BWV 150: IV. Chorus ""Leite mich in deiner Wahrheit""",Johann Sebastian Bach
17,5LPPgtGOjYn3y0wnbtEpas,"Nach dir, Herr, verlanget mich, BWV 150: II. Chorus ""Nach dir, Herr, verlanget mich""",Johann Sebastian Bach
12,5ss259qhwJlObs4B8kcpBJ,"Concerto For Harpsichord, Strings, And Continuo No.5 In F Minor, BWV 1056: 2. Largo",Johann Sebastian Bach
17,7rL5EIbVpdeFE3UwcpBVhw,"Nach dir, Herr, verlanget mich, BWV 150: I. Sinfonia",Johann Sebastian Bach
10,0LAB09n8Kzl3EtDmbAkHtI,"Musical Offering, BWV 1079: 4h. Canon perpetuus",Johann Sebastian Bach
10,0nTFkBqiwyijIhvbLaD56v,"Mass in B Minor, BWV 232 / Credo: Et resurrexit",Johann Sebastian Bach
11,0wqTtnpqo02sVzR0nznyH5,"Es spricht der Unweisen Mund wohl, BWV 308",Johann Sebastian Bach
9,0xcdj7YgARPkBwAU9mIiGU,"Toccata, Adagio and Fugue in C, BWV 564: 2. Adagio",Johann Sebastian Bach
10,3gREm2tym90MksYQ4o95zy,"Brandenburg Concerto No.4 in G, BWV 1049: 2. Andante",Johann Sebastian Bach
12,3twZGQDMbttEpVr8XoWdMf,"Prelude In C Minor, BWV 999",Johann Sebastian Bach
11,4b4uxJnXZqmF7wzY8dtRhK,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 22 Alla breve a 1 Clav.",Johann Sebastian Bach
12,4dFFWxzUiIL4sthY4Ew8lp,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 10 Fughetta a 1 Clav.",Johann Sebastian Bach
9,58UQOhLCJWyduw3AbkUJjm,"Musical Offering, BWV 1079: Sonata a 3 - III Andante",Johann Sebastian Bach
11,1VAWgoQAsdA3qoA5Bc3nnr,"Sonata No.2 In E Flat Major, BWV 1031: 1. Allegro moderato",Johann Sebastian Bach
14,4khtppn818j93GC7WA6BpM,"Aria variata (alla maniera italiana) in A Minor, BWV 989: Variation VI. Andante",Johann Sebastian Bach
13,5wApQjYarCkutpHAbeQ0Bm,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 7 a 1 ovvero 2 Clav.",Johann Sebastian Bach
18,374QkOdHpbsdLw5dsMBxQc,"Herr, gehe nicht ins Gericht mit deinem Knecht, BWV 105: III. Air ""Wie zittern und wanken""",Johann Sebastian Bach
10,03fh2NGGN4AQqBvqkrUByv,"Brandenburg Concerto No.2 In F Major, BWV 1047: 2. Andante",Johann Sebastian Bach
9,1y5pRtFBI6h0hwnpFZo57G,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. For Piano By Dame Myra Hess: 10. ""Jesus bleibet meine Freude"" - Live",Johann Sebastian Bach
13,2EMCVlsTxLNcOxCYyzWROW,"Partita No.5 in G, BWV 829: 6. Passepied",Johann Sebastian Bach
8,3AtXEkcOQby8C5gMsowvEP,"Partita For Violin Solo No.2 In D Minor, BWV 1004: 4. Giga",Johann Sebastian Bach
10,5M7PfXjwHPoHTjW48DmhC7,"Suite No.2 In B Minor, BWV 1067: 2. Rondeau",Johann Sebastian Bach
12,1JeIMcWGvPs3BGvpLu1veZ,Variations Goldberg BWV 988: Variation 7,Johann Sebastian Bach
15,2ARwvI2ijWg1SD8qJEbLuz,"Nach dir, Herr, verlanget mich, BWV 150: VII. Chorus ""Meine Tage in dem Leide""",Johann Sebastian Bach
12,335ShV1zl2pOBnbFOnWsku,"Suite No.2 in B minor, BWV 1067: 7. Badinerie",Johann Sebastian Bach
12,4B2UgNolsyy2fwBXocCTYg,"Musical Offering, BWV 1079: 4c. Canon 3 a 2 per motum contrarium",Johann Sebastian Bach
13,4p5Ixtb6FhJlmO2uYvFKG0,"Prelude & Fugue in E Major (Well-Tempered Clavier, Book I, No. 9), BWV 854: Fugue",Johann Sebastian Bach
